test output
2017/10/16,
GlobalManagers,
NONE,WordPushGame(Clone),NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
0,5.004319,6.445807,8.086603,8.299536,8.991571,9.538757,10.07496,15.07915,2.000634,17.06749,
Game Start,GameInit,Apppear,Answer not Correct,Answer not Correct,Answer not Correct,Answer not Correct,Answer Correct,Ghost disappear,Blanktime finish,GameFinish,
