test output
2017/10/16,
GlobalManagers,
NONE,WordPushGame(Clone),NONE,NONE,NONE,NONE,WordPushGame(Clone),NONE,NONE,NONE,NONE,WordPushGame(Clone),NONE,NONE,NONE,NONE,WordPushGame(Clone),NONE,NONE,NONE,NONE,WordPushGame(Clone),NONE,NONE,NONE,NONE,NONE,
15.56067,5.004719,7.48481,8.545788,13.54959,2.013649,18.55391,21.0338,22.1735,27.17762,2.009732,32.18129,38.42662,39.3423,44.34636,2.001266,49.35042,51.59571,52.31039,57.31456,2.009935,62.31845,64.67596,66.12735,71.13103,2.011377,73.13078,
Game Start,GameInit,Apppear,Answer Correct,Ghost disappear,Blanktime finish,GameInit,Apppear,Answer Correct,Ghost disappear,Blanktime finish,GameInit,Apppear,Answer Correct,Ghost disappear,Blanktime finish,GameInit,Apppear,Answer Correct,Ghost disappear,Blanktime finish,GameInit,Apppear,Answer Correct,Ghost disappear,Blanktime finish,GameFinish,
